global_event_id,corridor,event_id,handover_type,timestamp,from_cell_name,from_pci,from_band,to_cell_name,to_pci,to_band,time_since_prev_handover_s,distance_since_prev_handover_m,avg_speed_prev_segment_kmh,latitude_at_handover,longitude_at_handover,serving_rsrp_just_before_dbm,serving_rsrp_just_after_dbm
15,gulshan_banani_mohakhali,15,normal,09/06/2026 09:06:24.000,eNB01278_SB,148.0,Band 3,eNB07356_SB,24.0,Band 3,18.0,103.8,20.8,23.785545,90.419058,-86.0,-78.0
16,gulshan_banani_mohakhali,16,pingpong,09/06/2026 09:06:59.000,eNB07356_SB,24.0,Band 8,eNB01278_SB,148.0,Band 8,35.0,212.3,21.8,23.787026,90.418873,-80.0,-80.0
17,gulshan_banani_mohakhali,17,stable,09/06/2026 09:07:02.000,eNB01278_SB,148.0,Band 8,eNB07356_SB,24.0,Band 8,3.0,24.5,29.4,23.78721,90.418781,-83.0,-79.0
18,gulshan_banani_mohakhali,18,pingpong,09/06/2026 09:09:14.000,eNB07356_SB,24.0,Band 3,BD1514B,19.0,Band 3,132.0,735.4,20.1,23.79271,90.417495,-80.0,-88.0
19,gulshan_banani_mohakhali,19,pingpong,09/06/2026 09:09:21.000,BD1514B,19.0,Band 3,eNB07356_SB,24.0,Band 3,7.0,70.5,36.3,23.793304,90.417305,-88.0,-89.0
20,gulshan_banani_mohakhali,20,short_stay,09/06/2026 09:09:24.000,eNB07356_SB,24.0,Band 3,BD1514B,19.0,Band 3,3.0,29.3,35.2,23.793561,90.417253,-89.0,-89.0
21,gulshan_banani_mohakhali,21,pingpong,09/06/2026 09:09:25.000,BD1514B,19.0,Band 3,eNB01278_SB,148.0,Band 3,1.0,13.2,47.5,23.793657,90.417177,-89.0,-90.0
22,gulshan_banani_mohakhali,22,stable,09/06/2026 09:09:27.000,eNB01278_SB,148.0,Band 3,BD1514B,19.0,Band 3,2.0,16.9,30.4,23.793808,90.417173,-94.0,-90.0
23,gulshan_banani_mohakhali,23,pingpong,09/06/2026 09:11:03.000,BD1514B,19.0,Band 41,eNB07971_SB,32.0,Band 41,96.0,952.4,35.7,23.80144,90.414031,-89.0,-87.0
24,gulshan_banani_mohakhali,24,pingpong,09/06/2026 09:11:10.000,eNB07971_SB,32.0,Band 41,BD1514B,19.0,Band 41,7.0,85.0,43.7,23.802106,90.413692,-89.0,-85.0
25,gulshan_banani_mohakhali,25,stable,09/06/2026 09:11:11.000,BD1514B,19.0,Band 41,eNB07971_SB,32.0,Band 41,1.0,12.8,46.1,23.802207,90.413631,-85.0,-79.0
26,gulshan_banani_mohakhali,26,pingpong,09/06/2026 09:13:21.000,eNB07971_SB,32.0,Band 1,URB-8667-A,85.0,Band 1,130.0,1225.8,33.9,23.809814,90.406992,-99.0,-93.0
27,gulshan_banani_mohakhali,27,short_stay,09/06/2026 09:13:25.000,URB-8667-A,85.0,Band 1,eNB07971_SB,32.0,Band 1,4.0,49.0,44.1,23.810049,90.406591,-96.0,-90.0
28,gulshan_banani_mohakhali,28,short_stay,09/06/2026 09:13:28.000,eNB07971_SB,32.0,Band 1,URB-2345-B,143.0,Band 1,3.0,37.8,45.4,23.810226,90.406278,-96.0,-98.0
29,gulshan_banani_mohakhali,29,pingpong,09/06/2026 09:13:33.000,URB-2345-B,143.0,Band 1,URB-8667-A,85.0,Band 1,5.0,73.8,53.1,23.810499,90.405627,-92.0,-94.0
30,gulshan_banani_mohakhali,30,pingpong,09/06/2026 09:13:41.000,URB-8667-A,85.0,Band 1,URB-2345-B,143.0,Band 1,8.0,109.2,49.1,23.810595,90.404581,-99.0,-94.0
31,gulshan_banani_mohakhali,31,short_stay,09/06/2026 09:13:43.000,URB-2345-B,143.0,Band 1,URB-8667-A,85.0,Band 1,2.0,26.3,47.3,23.810582,90.404323,-99.0,-94.0
32,gulshan_banani_mohakhali,32,short_stay,09/06/2026 09:13:47.000,URB-8667-A,85.0,Band 1,eNB09520_SB,103.0,Band 1,4.0,49.1,44.2,23.810574,90.403861,-101.0,-100.0
33,gulshan_banani_mohakhali,33,short_stay,09/06/2026 09:13:49.000,eNB09520_SB,103.0,Band 1,SITE3586.SECA,165.0,Band 1,2.0,21.0,37.8,23.810563,90.403658,-100.0,-97.0
34,gulshan_banani_mohakhali,34,short_stay,09/06/2026 09:13:55.000,SITE3586.SECA,165.0,Band 1,URB-2345-B,143.0,Band 1,6.0,68.0,40.8,23.810507,90.403014,-100.0,-92.0
35,gulshan_banani_mohakhali,35,short_stay,09/06/2026 09:13:59.000,URB-2345-B,143.0,Band 1,URB-8667-A,85.0,Band 1,4.0,54.8,49.3,23.810351,90.402518,-102.0,-103.0
36,gulshan_banani_mohakhali,36,normal,09/06/2026 09:14:01.000,URB-8667-A,85.0,Band 1,SITE3586.SECA,165.0,Band 1,2.0,22.7,40.9,23.810331,90.402297,-99.0,-99.0
37,gulshan_banani_mohakhali,37,pingpong,09/06/2026 09:14:49.000,SITE3586.SECA,165.0,Band 3,BD8370A,56.0,Band 3,48.0,575.6,43.2,23.806887,90.398365,-92.0,-93.0
38,gulshan_banani_mohakhali,38,pingpong,09/06/2026 09:14:54.000,BD8370A,56.0,Band 1,SITE3586.SECA,165.0,Band 1,5.0,66.9,48.2,23.806404,90.397989,-94.0,-87.0
39,gulshan_banani_mohakhali,39,pingpong,09/06/2026 09:15:02.000,SITE3586.SECA,165.0,Band 1,BD8370A,56.0,Band 1,8.0,102.7,46.2,23.805565,90.397617,-93.0,-90.0
40,gulshan_banani_mohakhali,40,pingpong,09/06/2026 09:15:04.000,BD8370A,56.0,Band 1,SITE3586.SECA,165.0,Band 1,2.0,29.2,52.6,23.805334,90.397482,-90.0,-91.0
41,gulshan_banani_mohakhali,41,pingpong,09/06/2026 09:15:07.000,SITE3586.SECA,165.0,Band 1,BD8370A,56.0,Band 1,3.0,32.2,38.6,23.805093,90.397327,-90.0,-91.0
42,gulshan_banani_mohakhali,42,pingpong,09/06/2026 09:15:08.000,BD8370A,56.0,Band 1,SITE3586.SECA,165.0,Band 1,1.0,14.3,51.5,23.805017,90.397214,-91.0,-91.0
43,gulshan_banani_mohakhali,43,normal,09/06/2026 09:15:10.000,SITE3586.SECA,165.0,Band 1,BD8370A,56.0,Band 1,2.0,22.0,39.6,23.804838,90.397127,-93.0,-91.0
44,gulshan_banani_mohakhali,44,pingpong,09/06/2026 09:15:35.000,BD8370A,56.0,Band 1,SITE3586.SECA,165.0,Band 1,25.0,240.8,34.7,23.802966,90.39612,-96.0,-96.0
45,gulshan_banani_mohakhali,45,normal,09/06/2026 09:15:37.000,SITE3586.SECA,165.0,Band 1,BD8370A,56.0,Band 1,2.0,22.5,40.5,23.802771,90.396079,-97.0,-87.0
46,gulshan_banani_mohakhali,46,pingpong,09/06/2026 09:16:26.000,BD8370A,56.0,Band 3,eNB03634_SB,54.0,Band 1,49.0,548.8,40.3,23.798201,90.394625,-96.0,-99.0
47,gulshan_banani_mohakhali,47,normal,09/06/2026 09:16:28.000,eNB03634_SB,54.0,Band 1,BD8370A,56.0,Band 1,2.0,30.4,54.7,23.797935,90.394557,-100.0,-96.0
48,gulshan_banani_mohakhali,48,pingpong,09/06/2026 09:16:47.000,BD8370A,56.0,Band 41,eNB03634_SB,54.0,Band 41,19.0,212.5,40.3,23.796104,90.394183,-93.0,-95.0
49,gulshan_banani_mohakhali,49,short_stay,09/06/2026 09:16:53.000,eNB03634_SB,54.0,Band 41,BD8370A,56.0,Band 41,6.0,72.8,43.7,23.795485,90.39398,-93.0,-84.0
50,gulshan_banani_mohakhali,50,short_stay,09/06/2026 09:16:58.000,BD8370A,56.0,Band 41,URB-5894-C,61.0,Band 41,5.0,62.8,45.2,23.794945,90.393863,-99.0,-94.0
51,gulshan_banani_mohakhali,51,stable,09/06/2026 09:17:01.000,URB-5894-C,61.0,Band 41,eNB03634_SB,54.0,Band 41,3.0,35.4,42.5,23.794635,90.393819,-97.0,-89.0
52,gulshan_banani_mohakhali,52,pingpong,09/06/2026 09:19:49.000,eNB03634_SB,54.0,Band 8,SITE8176.SECC,140.0,Band 8,168.0,1244.4,26.7,23.785011,90.392355,-89.0,-93.0
53,gulshan_banani_mohakhali,53,pingpong,09/06/2026 09:19:57.000,SITE8176.SECC,140.0,Band 41,eNB03634_SB,54.0,Band 41,8.0,33.7,15.2,23.784765,90.392341,-90.0,-84.0
54,gulshan_banani_mohakhali,54,stable,09/06/2026 09:20:01.000,eNB03634_SB,54.0,Band 41,SITE8176.SECC,140.0,Band 41,4.0,30.4,27.4,23.784536,90.392214,-87.0,-82.0
55,gulshan_banani_mohakhali,55,stable,09/06/2026 09:21:45.000,SITE8176.SECC,140.0,Band 41,BD6776B,52.0,Band 41,104.0,813.9,28.2,23.778124,90.390059,-83.0,-81.0
56,gulshan_banani_mohakhali,56,pingpong,09/06/2026 09:23:50.000,BD6776B,52.0,Band 1,eNB05460_SB,196.0,Band 1,125.0,982.0,28.3,23.770476,90.388801,-95.0,-98.0
57,gulshan_banani_mohakhali,57,normal,09/06/2026 09:23:53.000,eNB05460_SB,196.0,Band 1,BD6776B,52.0,Band 1,3.0,11.0,13.2,23.770477,90.388806,-101.0,-98.0
58,gulshan_banani_mohakhali,58,short_stay,09/06/2026 09:24:15.000,BD6776B,52.0,Band 1,URB-6709-B,130.0,Band 1,22.0,168.5,27.6,23.769162,90.388608,-88.0,-85.0
59,gulshan_banani_mohakhali,59,stable,09/06/2026 09:24:19.000,URB-6709-B,130.0,Band 1,eNB03899_SB,137.0,Band 1,4.0,29.3,26.4,23.768964,90.388681,-87.0,-86.0
60,gulshan_banani_mohakhali,60,short_stay,09/06/2026 09:25:47.000,eNB03899_SB,137.0,Band 8,URB-5895-A,51.0,Band 8,88.0,544.5,22.3,23.765223,90.388591,-93.0,-92.0
61,gulshan_banani_mohakhali,61,short_stay,09/06/2026 09:25:48.000,URB-5895-A,51.0,Band 8,URB-2534-C,40.0,Band 8,1.0,11.9,42.8,23.765118,90.388616,-92.0,-88.0
62,gulshan_banani_mohakhali,62,normal,09/06/2026 09:25:52.000,URB-2534-C,40.0,Band 8,eNB03899_SB,137.0,Band 8,4.0,48.3,43.5,23.764717,90.388524,-90.0,-92.0
63,gulshan_banani_mohakhali,63,pingpong,09/06/2026 09:26:17.000,eNB03899_SB,137.0,Band 41,URB-2534-C,40.0,Band 41,25.0,320.1,46.1,23.761916,90.388769,-87.0,-84.0
64,gulshan_banani_mohakhali,64,pingpong,09/06/2026 09:26:19.000,URB-2534-C,40.0,Band 41,eNB03899_SB,137.0,Band 41,2.0,25.2,45.4,23.761691,90.388767,-88.0,-89.0
65,gulshan_banani_mohakhali,65,stable,09/06/2026 09:26:21.000,eNB03899_SB,137.0,Band 41,URB-2534-C,40.0,Band 41,2.0,23.9,43.0,23.761482,90.388714,-90.0,-86.0
66,gulshan_banani_mohakhali,66,pingpong,09/06/2026 09:28:15.000,URB-2534-C,40.0,Band 3,SITE1269.SECB,206.0,Band 3,114.0,1232.2,38.9,23.751063,90.391269,-96.0,-99.0
67,gulshan_banani_mohakhali,67,pingpong,09/06/2026 09:28:16.000,SITE1269.SECB,206.0,Band 3,URB-2534-C,40.0,Band 3,1.0,12.4,44.6,23.750969,90.391335,-99.0,-97.0
68,gulshan_banani_mohakhali,68,pingpong,09/06/2026 09:28:18.000,URB-2534-C,40.0,Band 3,SITE1269.SECB,206.0,Band 3,2.0,19.2,34.6,23.750813,90.39141,-99.0,-96.0
69,gulshan_banani_mohakhali,69,normal,09/06/2026 09:28:21.000,SITE1269.SECB,206.0,Band 3,URB-2534-C,40.0,Band 1,3.0,31.0,37.2,23.750568,90.391531,-100.0,-97.0
70,gulshan_banani_mohakhali,70,short_stay,09/06/2026 09:28:32.000,URB-2534-C,40.0,Band 1,BD5150B,179.0,Band 1,11.0,93.3,30.5,23.749925,90.392037,-96.0,-95.0
71,gulshan_banani_mohakhali,71,short_stay,09/06/2026 09:28:34.000,BD5150B,179.0,Band 1,SITE1269.SECB,206.0,Band 1,2.0,25.8,46.4,23.749714,90.392128,-100.0,-94.0
72,gulshan_banani_mohakhali,72,normal,09/06/2026 09:28:39.000,SITE1269.SECB,206.0,Band 1,URB-2534-C,40.0,Band 1,5.0,41.1,29.6,23.749374,90.39228,-97.0,-97.0
73,gulshan_banani_mohakhali,73,short_stay,09/06/2026 09:28:56.000,URB-2534-C,40.0,Band 1,SITE1269.SECB,206.0,Band 1,17.0,149.7,31.7,23.748319,90.392936,-96.0,-94.0
74,gulshan_banani_mohakhali,74,short_stay,09/06/2026 09:29:02.000,SITE1269.SECB,206.0,Band 1,BD2207B,197.0,Band 1,6.0,59.5,35.7,23.747876,90.393196,-101.0,-108.0
75,gulshan_banani_mohakhali,75,short_stay,09/06/2026 09:29:03.000,BD2207B,197.0,Band 1,SITE3710.SECB,167.0,Band 1,1.0,10.0,36.0,23.747791,90.393229,-108.0,-103.0
76,gulshan_banani_mohakhali,76,short_stay,09/06/2026 09:29:06.000,SITE3710.SECB,167.0,Band 1,SITE1269.SECB,206.0,Band 1,3.0,26.0,31.2,23.747663,90.39343,-103.0,-102.0
77,gulshan_banani_mohakhali,77,short_stay,09/06/2026 09:29:12.000,SITE1269.SECB,206.0,Band 1,URB-2534-C,40.0,Band 1,6.0,38.3,23.0,23.747468,90.393694,-103.0,-95.0
78,gulshan_banani_mohakhali,78,pingpong,09/06/2026 09:29:14.000,URB-2534-C,40.0,Band 41,BD5150B,179.0,Band 41,2.0,17.9,32.2,23.747315,90.393724,-100.0,-97.0
79,gulshan_banani_mohakhali,79,short_stay,09/06/2026 09:29:18.000,BD5150B,179.0,Band 41,URB-2534-C,40.0,Band 41,4.0,38.0,34.2,23.74715,90.393976,-99.0,-98.0
80,gulshan_banani_mohakhali,80,short_stay,09/06/2026 09:29:21.000,URB-2534-C,40.0,Band 41,SITE1269.SECB,206.0,Band 41,3.0,21.7,26.0,23.747026,90.394122,-100.0,-95.0
81,gulshan_banani_mohakhali,81,short_stay,09/06/2026 09:29:22.000,SITE1269.SECB,206.0,Band 41,eNB09212_SB,185.0,Band 41,1.0,10.4,37.4,23.746989,90.394216,-95.0,-95.0
82,gulshan_banani_mohakhali,82,short_stay,09/06/2026 09:29:26.000,eNB09212_SB,185.0,Band 41,SITE3710.SECB,167.0,Band 41,4.0,31.0,27.9,23.746779,90.394392,-99.0,-105.0
83,gulshan_banani_mohakhali,83,pingpong,09/06/2026 09:29:27.000,SITE3710.SECB,167.0,Band 41,URB-2534-C,40.0,Band 41,1.0,10.8,38.9,23.746686,90.394423,-105.0,-98.0
84,gulshan_banani_mohakhali,84,short_stay,09/06/2026 09:29:29.000,URB-2534-C,40.0,Band 41,SITE3710.SECB,167.0,Band 41,2.0,13.9,25.0,23.746615,90.394535,-101.0,-107.0
85,gulshan_banani_mohakhali,85,pingpong,09/06/2026 09:29:30.000,SITE3710.SECB,167.0,Band 41,BD5150B,179.0,Band 41,1.0,7.3,26.3,23.746566,90.394583,-107.0,-105.0
86,gulshan_banani_mohakhali,86,stable,09/06/2026 09:29:31.000,BD5150B,179.0,Band 41,SITE3710.SECB,167.0,Band 41,1.0,2.8,10.1,23.746543,90.394595,-105.0,-105.0
87,gulshan_banani_mohakhali,87,pingpong,09/06/2026 09:32:43.000,SITE3710.SECB,167.0,Band 1,URB-2534-C,40.0,Band 1,192.0,1509.6,28.3,23.750354,90.404893,-101.0,-101.0
88,gulshan_banani_mohakhali,88,pingpong,09/06/2026 09:32:44.000,URB-2534-C,40.0,Band 1,SITE3710.SECB,167.0,Band 1,1.0,7.5,27.0,23.750418,90.404915,-101.0,-99.0
89,gulshan_banani_mohakhali,89,pingpong,09/06/2026 09:32:45.000,SITE3710.SECB,167.0,Band 1,URB-2534-C,40.0,Band 1,1.0,16.6,59.8,23.750567,90.404931,-99.0,-103.0
90,gulshan_banani_mohakhali,90,short_stay,09/06/2026 09:32:46.000,URB-2534-C,40.0,Band 1,SITE3710.SECB,167.0,Band 1,1.0,8.0,28.8,23.750631,90.404966,-103.0,-106.0
91,gulshan_banani_mohakhali,91,pingpong,09/06/2026 09:32:47.000,SITE3710.SECB,167.0,Band 1,URB-6118-B,146.0,Band 1,1.0,6.7,24.1,23.750677,90.405009,-106.0,-100.0
92,gulshan_banani_mohakhali,92,short_stay,09/06/2026 09:32:48.000,URB-6118-B,146.0,Band 1,SITE3710.SECB,167.0,Band 1,1.0,14.1,50.8,23.750803,90.405025,-100.0,-102.0
93,gulshan_banani_mohakhali,93,pingpong,09/06/2026 09:32:49.000,SITE3710.SECB,167.0,Band 1,eNB09212_SB,185.0,Band 1,1.0,13.9,50.0,23.750911,90.405093,-102.0,-99.0
94,gulshan_banani_mohakhali,94,pingpong,09/06/2026 09:32:51.000,eNB09212_SB,185.0,Band 1,SITE3710.SECB,167.0,Band 1,2.0,22.4,40.3,23.751105,90.405152,-101.0,-100.0
95,gulshan_banani_mohakhali,95,normal,09/06/2026 09:32:52.000,SITE3710.SECB,167.0,Band 1,eNB09212_SB,185.0,Band 1,1.0,15.7,56.5,23.751218,90.405245,-100.0,-98.0
96,gulshan_banani_mohakhali,96,pingpong,09/06/2026 09:33:31.000,eNB09212_SB,185.0,Band 41,URB-3341-B,29.0,Band 41,39.0,398.0,36.7,23.754372,90.406672,-97.0,-94.0
97,gulshan_banani_mohakhali,97,normal,09/06/2026 09:33:32.000,URB-3341-B,29.0,Band 41,eNB09212_SB,185.0,Band 41,1.0,10.9,39.2,23.754453,90.406732,-94.0,-89.0
98,gulshan_banani_mohakhali,98,pingpong,09/06/2026 09:33:41.000,eNB09212_SB,185.0,Band 41,URB-3990-C,203.0,Band 41,9.0,72.3,28.9,23.754988,90.406974,-88.0,-95.0
99,gulshan_banani_mohakhali,99,normal,09/06/2026 09:33:44.000,URB-3990-C,203.0,Band 41,eNB09212_SB,185.0,Band 41,3.0,19.7,23.6,23.75513,90.407075,-98.0,-94.0
100,gulshan_banani_mohakhali,100,pingpong,09/06/2026 09:34:06.000,eNB09212_SB,185.0,Band 41,URB-3341-B,29.0,Band 41,22.0,126.7,20.7,23.755978,90.407286,-94.0,-96.0
101,gulshan_banani_mohakhali,101,normal,09/06/2026 09:34:08.000,URB-3341-B,29.0,Band 41,eNB09212_SB,185.0,Band 41,2.0,9.7,17.5,23.756064,90.407302,-97.0,-93.0
102,gulshan_banani_mohakhali,102,short_stay,09/06/2026 09:34:44.000,eNB09212_SB,185.0,Band 41,SITE1215.SECB,202.0,Band 41,36.0,203.6,20.4,23.757439,90.407834,-99.0,-94.0
103,gulshan_banani_mohakhali,103,normal,09/06/2026 09:34:50.000,SITE1215.SECB,202.0,Band 41,URB-3341-B,29.0,Band 41,6.0,35.8,21.5,23.757655,90.407921,-101.0,-102.0
104,gulshan_banani_mohakhali,104,normal,09/06/2026 09:35:43.000,URB-3341-B,29.0,Band 3,eNB09212_SB,185.0,Band 3,53.0,325.0,22.1,23.759674,90.408715,-94.0,-91.0
105,gulshan_banani_mohakhali,105,normal,09/06/2026 09:35:57.000,eNB09212_SB,185.0,Band 3,URB-3341-B,29.0,Band 41,14.0,173.6,44.6,23.761071,90.409368,-91.0,-91.0
106,gulshan_banani_mohakhali,106,pingpong,09/06/2026 09:36:33.000,URB-3341-B,29.0,Band 1,SITE1215.SECB,202.0,Band 1,36.0,432.4,43.2,23.763865,90.412015,-97.0,-101.0
107,gulshan_banani_mohakhali,107,pingpong,09/06/2026 09:36:34.000,SITE1215.SECB,202.0,Band 1,URB-3341-B,29.0,Band 1,1.0,8.5,30.6,23.763926,90.412066,-101.0,-96.0
108,gulshan_banani_mohakhali,108,pingpong,09/06/2026 09:36:42.000,URB-3341-B,29.0,Band 1,SITE1215.SECB,202.0,Band 1,8.0,93.6,42.1,23.764641,90.412542,-95.0,-94.0
109,gulshan_banani_mohakhali,109,short_stay,09/06/2026 09:36:44.000,SITE1215.SECB,202.0,Band 1,URB-3341-B,29.0,Band 1,2.0,30.2,54.4,23.76484,90.412717,-101.0,-96.0
110,gulshan_banani_mohakhali,110,pingpong,09/06/2026 09:36:45.000,URB-3341-B,29.0,Band 1,BD4592C,168.0,Band 1,1.0,12.7,45.7,23.764919,90.412807,-96.0,-95.0
111,gulshan_banani_mohakhali,111,short_stay,09/06/2026 09:36:46.000,BD4592C,168.0,Band 1,URB-3341-B,29.0,Band 1,1.0,12.1,43.6,23.765009,90.412873,-95.0,-93.0
112,gulshan_banani_mohakhali,112,short_stay,09/06/2026 09:36:47.000,URB-3341-B,29.0,Band 1,SITE1215.SECB,202.0,Band 1,1.0,10.2,36.7,23.765098,90.412897,-93.0,-92.0
113,gulshan_banani_mohakhali,113,pingpong,09/06/2026 09:36:49.000,SITE1215.SECB,202.0,Band 1,BD7179A,203.0,Band 1,2.0,24.5,44.1,23.765296,90.413001,-95.0,-90.0
114,gulshan_banani_mohakhali,114,pingpong,09/06/2026 09:36:52.000,BD7179A,203.0,Band 1,SITE1215.SECB,202.0,Band 1,3.0,42.8,51.4,23.765635,90.413144,-95.0,-95.0
115,gulshan_banani_mohakhali,115,stable,09/06/2026 09:36:57.000,SITE1215.SECB,202.0,Band 1,BD7179A,203.0,Band 1,5.0,55.6,40.0,23.766064,90.413399,-101.0,-94.0
116,gulshan_banani_mohakhali,116,pingpong,09/06/2026 09:39:20.000,BD7179A,203.0,Band 1,BD9162C,104.0,Band 1,143.0,1867.1,47.0,23.778393,90.419303,-94.0,-87.0
117,gulshan_banani_mohakhali,117,short_stay,09/06/2026 09:39:22.000,BD9162C,104.0,Band 1,BD7179A,203.0,Band 1,2.0,28.1,50.6,23.778644,90.419331,-92.0,-94.0
118,gulshan_banani_mohakhali,118,short_stay,09/06/2026 09:39:30.000,BD7179A,203.0,Band 1,BD4592C,168.0,Band 1,8.0,94.0,42.3,23.779454,90.419437,-98.0,-103.0
119,gulshan_banani_mohakhali,119,short_stay,09/06/2026 09:39:31.000,BD4592C,168.0,Band 1,eNB01278_SB,148.0,Band 1,1.0,14.5,52.2,23.77958,90.419401,-103.0,-98.0
120,gulshan_banani_mohakhali,120,short_stay,09/06/2026 09:39:32.000,eNB01278_SB,148.0,Band 1,BD7179A,203.0,Band 1,1.0,13.8,49.7,23.779693,90.419456,-98.0,-96.0
121,gulshan_banani_mohakhali,121,short_stay,09/06/2026 09:39:34.000,BD7179A,203.0,Band 1,BD9162C,104.0,Band 1,2.0,21.6,38.9,23.779881,90.419501,-98.0,-90.0
122,gulshan_banani_mohakhali,122,short_stay,09/06/2026 09:39:35.000,BD9162C,104.0,Band 1,BD4592C,168.0,Band 1,1.0,11.2,40.3,23.779973,90.419456,-90.0,-90.0
123,gulshan_banani_mohakhali,123,short_stay,09/06/2026 09:39:41.000,BD4592C,168.0,Band 1,eNB07356_SB,24.0,Band 1,6.0,73.5,44.1,23.780632,90.419444,-91.0,-95.0
124,gulshan_banani_mohakhali,124,normal,09/06/2026 09:39:45.000,eNB07356_SB,24.0,Band 1,eNB01278_SB,148.0,Band 1,4.0,39.4,35.5,23.780982,90.419443,-98.0,-95.0
125,gulshan_banani_mohakhali,125,pingpong,09/06/2026 09:39:59.000,eNB01278_SB,148.0,Band 1,eNB07356_SB,24.0,Band 1,14.0,167.5,43.1,23.782449,90.419306,-84.0,-91.0
126,gulshan_banani_mohakhali,126,normal,09/06/2026 09:40:06.000,eNB07356_SB,24.0,Band 41,eNB01278_SB,148.0,Band 41,7.0,88.2,45.4,23.783231,90.419287,-89.0,-95.0
127,gulshan_banani_mohakhali,127,pingpong,09/06/2026 09:40:21.000,eNB01278_SB,148.0,Band 3,eNB07356_SB,24.0,Band 3,15.0,177.6,42.6,23.784758,90.419122,-87.0,-88.0
128,gulshan_banani_mohakhali,128,pingpong,09/06/2026 09:40:23.000,eNB07356_SB,24.0,Band 3,eNB01278_SB,148.0,Band 3,2.0,17.2,31.0,23.784909,90.419095,-87.0,-87.0
129,gulshan_banani_mohakhali,129,stable,09/06/2026 09:40:31.000,eNB01278_SB,148.0,Band 3,eNB07356_SB,24.0,Band 3,8.0,96.6,43.5,23.785754,90.418975,-89.0,-85.0
130,gulshan_banani_mohakhali,130,pingpong,09/06/2026 09:41:43.000,eNB07356_SB,24.0,Band 41,URB-5894-C,61.0,Band 41,72.0,923.7,46.2,23.793678,90.417247,-95.0,-97.0
131,gulshan_banani_mohakhali,131,short_stay,09/06/2026 09:41:44.000,URB-5894-C,61.0,Band 41,eNB07356_SB,24.0,Band 41,1.0,16.6,59.8,23.793801,90.417155,-97.0,-92.0
