Time,Longitude,Latitude,Speed(km/h),LTE-S_PCell PCI,LTE-S_PCell EARFCN,LTE-S_Band,LTE-S_eNB-ID,LTE-S_PLMN ID,LTE-S_Cell Name,LTE-S_PCell RSRP,LTE-S_PCell RSRQ,LTE-S_PCell RSSI,LTE-S_PCell SINR,LTE-S_PCell CQI,LTE-S_Best_N1_Cell_ID,LTE-S_Best_N1_RSRP,LTE-S_Best_N2_Cell_ID,LTE-S_Best_N2_RSRP,LTE-S_Best_N3_Cell_ID,LTE-S_Best_N3_RSRP,LTE-S_Total Phy DL TP(Kbps),LTE-S_Total Phy UL TP(Kbps),Round Trip Time,Rx TCP/UDP Throughput,Tx TCP/UDP Throughput,Packet Loss (%)
09/06/2026 09:00:13.000,90.415855,23.77041,23.4,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-12.0,-47.0,2.5,5,203,-78.0,136,-89.0,187,-97.0,14380,1657,73.5,13276,1579,1.55
09/06/2026 09:00:14.000,90.41592,23.770391,23.3,203.0,3772.0,Band 8,730,101,BD7179A,-79.0,-13.0,-45.0,0.3,2,203,-79.0,136,-82.0,187,-94.0,3674,436,86.6,3347,397,2.18
09/06/2026 09:00:15.000,90.416011,23.770416,25.9,203.0,3772.0,Band 8,730,101,BD7179A,-80.0,-14.0,-47.0,4.8,6,203,-80.0,136,-84.0,187,-96.0,20802,2265,69.0,19840,2050,0.96
09/06/2026 09:00:16.000,90.41604,23.770425,26.1,203.0,3772.0,Band 8,730,101,BD7179A,-76.0,-7.0,-48.0,8.4,7,203,-76.0,136,-85.0,187,-96.0,25426,2753,61.6,24237,2484,1.26
09/06/2026 09:00:17.000,90.416109,23.77048,29.5,203.0,3772.0,Band 8,730,101,BD7179A,-73.0,-9.0,-43.0,9.7,7,203,-73.0,136,-93.0,187,-101.0,24312,2414,70.3,22750,2307,1.47
09/06/2026 09:00:18.000,90.416142,23.770474,30.6,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-10.0,-45.0,1.9,4,203,-78.0,136,-91.0,187,-97.0,10135,1185,71.5,9297,1117,2.2
09/06/2026 09:00:19.000,90.416214,23.770501,36.9,203.0,3772.0,Band 8,730,101,BD7179A,-77.0,-14.0,-42.0,3.4,5,203,-77.0,136,-88.0,187,-104.0,14004,1737,78.5,12709,1628,1.39
09/06/2026 09:00:20.000,90.416271,23.77055,35.9,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-17.0,-38.0,6.3,7,203,-78.0,136,-89.0,187,-96.0,25592,3051,61.8,24379,2920,1.25
09/06/2026 09:00:21.000,90.416371,23.770595,33.5,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-10.0,-46.0,5.4,7,203,-78.0,136,-91.0,187,-100.0,26349,2874,65.4,24427,2645,1.18
09/06/2026 09:00:22.000,90.416441,23.770598,35.7,203.0,3772.0,Band 8,730,101,BD7179A,-79.0,-13.0,-45.0,3.6,6,203,-79.0,136,-94.0,187,-95.0,18638,2076,71.7,16929,1917,1.74
09/06/2026 09:00:23.000,90.416558,23.770668,37.9,203.0,3772.0,Band 8,730,101,BD7179A,-69.0,-19.0,-27.0,9.3,7,203,-69.0,136,-83.0,187,-94.0,26344,2546,63.0,24004,2306,1.5
09/06/2026 09:00:24.000,90.41667,23.770731,41.5,203.0,3772.0,Band 8,730,101,BD7179A,-68.0,-14.0,-35.0,13.2,10,203,-68.0,136,-87.0,15,-95.0,44135,4672,43.9,40109,4452,1.11
09/06/2026 09:00:25.000,90.416761,23.770791,39.5,203.0,3772.0,Band 8,730,101,BD7179A,-73.0,-11.0,-43.0,14.3,10,203,-73.0,136,-85.0,15,-95.0,43480,4588,49.8,41130,4235,0.78
09/06/2026 09:00:26.000,90.416774,23.77085,35.5,203.0,3772.0,Band 8,730,101,BD7179A,-73.0,-15.0,-37.0,5.4,7,203,-73.0,136,-82.0,15,-95.0,23783,2990,65.4,21703,2739,1.25
09/06/2026 09:00:27.000,90.416864,23.77093,40.9,203.0,3772.0,Band 8,730,101,BD7179A,-74.0,-14.0,-38.0,11.8,9,203,-74.0,136,-82.0,15,-102.0,40373,4968,64.9,38437,4605,1.17
09/06/2026 09:00:28.000,90.416954,23.77095,36.2,203.0,3772.0,Band 8,730,101,BD7179A,-76.0,-19.0,-39.0,2.6,4,203,-76.0,136,-93.0,15,-101.0,9653,1054,80.2,8996,972,2.02
09/06/2026 09:00:29.000,90.417043,23.771069,37.4,203.0,3772.0,Band 8,730,101,BD7179A,-71.0,-19.0,-31.0,8.7,7,203,-71.0,136,-92.0,15,-107.0,24010,2696,76.4,22328,2540,1.31
09/06/2026 09:00:30.000,90.417068,23.771104,30.1,203.0,3772.0,Band 8,730,101,BD7179A,-72.0,-17.0,-34.0,4.1,5,203,-72.0,136,-90.0,15,-107.0,14195,1537,90.8,13330,1468,1.74
09/06/2026 09:00:31.000,90.417125,23.771107,28.9,203.0,3772.0,Band 8,730,101,BD7179A,-74.0,-12.0,-39.0,9.4,8,203,-74.0,136,-90.0,15,-105.0,33795,3892,64.4,31948,3695,1.64
09/06/2026 09:00:32.000,90.417172,23.771185,32.4,203.0,3772.0,Band 8,730,101,BD7179A,-77.0,-15.0,-46.0,7.8,8,203,-77.0,136,-92.0,15,-103.0,32242,3644,67.1,29945,3462,1.56
09/06/2026 09:00:33.000,90.417224,23.771298,32.3,203.0,1600.0,Band 3,730,101,BD7179A,-75.0,-13.0,-41.0,3.5,5,203,-75.0,136,-96.0,15,-104.0,13849,1565,64.2,12559,1443,1.89
09/06/2026 09:00:34.000,90.417319,23.771343,27.7,203.0,1600.0,Band 3,730,101,BD7179A,-75.0,-16.0,-39.0,9.9,7,203,-75.0,136,-94.0,15,-108.0,24361,2569,70.0,22836,2435,1.3
09/06/2026 09:00:35.000,90.417344,23.771435,23.9,203.0,1600.0,Band 3,730,101,BD7179A,-67.0,-14.0,-35.0,14.4,10,203,-67.0,136,-88.0,15,-106.0,42123,4028,54.9,38869,3704,1.1
09/06/2026 09:00:36.000,90.417389,23.771512,21.2,203.0,1600.0,Band 3,730,101,BD7179A,-65.0,-15.0,-28.0,17.4,12,203,-65.0,136,-90.0,197,-90.0,61912,5960,43.1,56813,5499,0.24
09/06/2026 09:00:37.000,90.417451,23.771514,17.5,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-13.0,-32.0,14.0,10,203,-66.0,136,-91.0,197,-89.0,47539,5065,42.4,43140,4744,1.08
09/06/2026 09:00:38.000,90.417459,23.771475,14.0,203.0,1600.0,Band 3,730,101,BD7179A,-68.0,-10.0,-39.0,19.4,13,203,-68.0,136,-98.0,197,-92.0,70391,8166,30.7,66912,7452,0.86
09/06/2026 09:00:39.000,90.417478,23.771476,11.1,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-13.0,-32.0,13.0,10,203,-66.0,136,-89.0,197,-92.0,44942,5601,51.0,42771,5063,0.96
09/06/2026 09:00:40.000,90.417498,23.771538,8.1,203.0,1600.0,Band 3,730,101,BD7179A,-68.0,-13.0,-36.0,17.2,12,203,-68.0,136,-90.0,197,-93.0,69301,7397,39.8,66120,6850,1.06
09/06/2026 09:00:41.000,90.417517,23.771542,9.7,203.0,1600.0,Band 3,730,101,BD7179A,-67.0,-16.0,-30.0,11.9,9,203,-67.0,136,-87.0,197,-96.0,37748,3656,51.5,36093,3306,0.96
09/06/2026 09:00:42.000,90.417509,23.771545,15.7,203.0,1600.0,Band 3,730,101,BD7179A,-67.0,-5.0,-41.0,18.1,12,203,-67.0,136,-87.0,197,-96.0,68515,8272,41.7,64346,7775,0.77
09/06/2026 09:00:43.000,90.417545,23.771561,16.9,203.0,1600.0,Band 3,730,101,BD7179A,-65.0,-12.0,-31.0,14.8,10,203,-65.0,136,-86.0,197,-95.0,47149,4878,57.5,43485,4661,1.17
09/06/2026 09:00:44.000,90.417618,23.771623,20.0,203.0,1600.0,Band 3,730,101,BD7179A,-60.0,-19.0,-22.0,26.3,15,203,-60.0,136,-87.0,197,-94.0,94024,9359,27.8,86452,8984,0.45
09/06/2026 09:00:45.000,90.417604,23.771685,22.7,203.0,1600.0,Band 3,730,101,BD7179A,-59.0,-12.0,-26.0,22.6,14,203,-59.0,136,-88.0,197,-91.0,83350,9497,22.7,76096,9108,0.74
09/06/2026 09:00:46.000,90.417662,23.77176,19.2,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-10.0,-36.0,12.9,9,203,-66.0,136,-89.0,197,-90.0,40459,4562,65.7,36578,4373,1.64
09/06/2026 09:00:47.000,90.417692,23.771831,19.2,203.0,1600.0,Band 3,730,101,BD7179A,-64.0,-13.0,-32.0,19.8,12,203,-64.0,136,-87.0,197,-85.0,62316,6844,50.1,57206,6566,0.4
09/06/2026 09:00:48.000,90.417705,23.771855,23.0,203.0,1600.0,Band 3,730,101,BD7179A,-62.0,-11.0,-30.0,15.4,9,203,-62.0,136,-84.0,197,-91.0,41011,4643,65.2,37353,4270,1.27
09/06/2026 09:00:49.000,90.417795,23.771905,23.3,203.0,1600.0,Band 3,730,101,BD7179A,-57.0,-12.0,-24.0,24.8,15,203,-57.0,136,-81.0,197,-91.0,96622,10567,33.0,91890,9896,0.74
09/06/2026 09:00:50.000,90.417835,23.771926,21.4,203.0,1600.0,Band 3,730,101,BD7179A,-60.0,-11.0,-31.0,19.1,13,203,-60.0,136,-82.0,197,-92.0,80362,8949,30.0,77059,8362,0.75
09/06/2026 09:00:51.000,90.417818,23.771985,21.6,203.0,1600.0,Band 3,730,101,BD7179A,-56.0,-18.0,-17.0,30.0,15,203,-56.0,136,-78.0,197,-85.0,94617,9103,34.2,89314,8442,0.35
09/06/2026 09:00:52.000,90.417841,23.772001,17.7,203.0,1600.0,Band 3,730,101,BD7179A,-56.0,-13.0,-24.0,27.9,15,203,-56.0,136,-78.0,197,-86.0,97586,11947,33.9,89755,11382,0.4
09/06/2026 09:00:53.000,90.417875,23.772017,15.9,203.0,1600.0,Band 3,730,101,BD7179A,-59.0,-17.0,-22.0,20.7,14,203,-59.0,136,-79.0,197,-86.0,81954,7703,46.5,75297,7153,0.69
09/06/2026 09:00:54.000,90.417886,23.772124,16.8,203.0,1600.0,Band 3,730,101,BD7179A,-62.0,-12.0,-31.0,16.0,11,203,-62.0,136,-86.0,197,-89.0,59074,6051,55.2,56538,5515,0.78
09/06/2026 09:00:55.000,90.417924,23.772165,17.8,203.0,1600.0,Band 3,730,101,BD7179A,-68.0,-11.0,-38.0,4.8,5,203,-68.0,136,-79.0,197,-90.0,15500,1941,78.6,14180,1760,1.77
09/06/2026 09:00:56.000,90.41794,23.772226,19.8,203.0,1600.0,Band 3,730,101,BD7179A,-67.0,-15.0,-32.0,16.0,11,203,-67.0,136,-84.0,197,-96.0,59483,6507,54.0,55597,5931,0.7
09/06/2026 09:00:57.000,90.417977,23.77233,19.6,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-10.0,-35.0,21.7,14,203,-66.0,136,-81.0,197,-96.0,85837,10813,31.4,81522,9820,0.47
09/06/2026 09:00:58.000,90.418037,23.772386,23.3,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-11.0,-32.0,20.1,13,203,-66.0,136,-85.0,197,-98.0,81340,7909,41.5,74297,7354,0.4
09/06/2026 09:00:59.000,90.418028,23.772412,20.7,203.0,1600.0,Band 3,730,101,BD7179A,-64.0,-16.0,-27.0,18.0,12,203,-64.0,136,-88.0,197,-94.0,69426,8365,38.4,66541,7997,1.01
09/06/2026 09:01:00.000,90.418052,23.77245,21.9,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-11.0,-32.0,15.1,11,203,-66.0,136,-85.0,104,-91.0,51034,4912,44.7,48129,4605,1.35
09/06/2026 09:01:01.000,90.418056,23.772467,20.7,203.0,1600.0,Band 3,730,101,BD7179A,-72.0,-10.0,-41.0,11.1,9,203,-72.0,136,-89.0,104,-94.0,41301,5166,49.8,37745,4663,1.35
09/06/2026 09:01:02.000,90.418081,23.77254,21.4,203.0,1600.0,Band 3,730,101,BD7179A,-68.0,-14.0,-35.0,13.4,10,203,-68.0,136,-87.0,104,-96.0,49116,5594,52.5,44243,5334,0.62
09/06/2026 09:01:03.000,90.418067,23.772568,20.4,203.0,1600.0,Band 3,730,101,BD7179A,-63.0,-12.0,-33.0,24.7,15,203,-63.0,136,-84.0,104,-95.0,89137,8429,39.5,82603,7802,0.5
09/06/2026 09:01:04.000,90.418078,23.772654,20.1,203.0,1600.0,Band 3,730,101,BD7179A,-59.0,-12.0,-27.0,19.6,13,203,-59.0,136,-86.0,104,-95.0,76585,8762,43.8,71450,8400,0.67
09/06/2026 09:01:05.000,90.418106,23.772685,23.8,203.0,1600.0,Band 3,730,101,BD7179A,-63.0,-16.0,-28.0,23.3,14,203,-63.0,136,-89.0,104,-91.0,81840,8423,28.2,74612,7812,0.19
09/06/2026 09:01:06.000,90.418161,23.772717,21.4,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-11.0,-35.0,18.4,13,203,-66.0,136,-89.0,104,-96.0,78249,9240,40.4,71997,8723,0.71
09/06/2026 09:01:07.000,90.418208,23.772734,14.4,203.0,1600.0,Band 3,730,101,BD7179A,-66.0,-15.0,-31.0,10.8,8,203,-66.0,136,-84.0,104,-98.0,32123,3621,65.0,30376,3456,0.79
09/06/2026 09:01:08.000,90.418181,23.772787,16.7,203.0,1600.0,Band 3,730,101,BD7179A,-58.0,-17.0,-24.0,24.3,15,203,-58.0,136,-85.0,104,-98.0,94729,11977,31.3,88918,11107,0.41
09/06/2026 09:01:09.000,90.418178,23.772824,16.0,203.0,1600.0,Band 3,730,101,BD7179A,-61.0,-13.0,-29.0,23.6,15,203,-61.0,136,-88.0,104,-99.0,96392,10650,30.7,91422,9673,0.09
09/06/2026 09:01:10.000,90.418217,23.772885,13.5,203.0,1600.0,Band 3,730,101,BD7179A,-61.0,-15.0,-27.0,19.5,13,203,-61.0,136,-85.0,104,-104.0,80180,7809,35.0,75704,7180,0.64
09/06/2026 09:01:11.000,90.418178,23.772894,14.8,203.0,1600.0,Band 3,730,101,BD7179A,-63.0,-16.0,-27.0,24.3,14,203,-63.0,136,-86.0,104,-101.0,80655,9153,28.2,74030,8641,0.75
09/06/2026 09:01:12.000,90.418192,23.772928,13.8,203.0,40142.0,Band 41,730,101,BD7179A,-59.0,-6.0,-29.0,25.2,15,203,-59.0,136,-85.0,197,-88.0,89876,8730,24.6,81729,7891,0.2
09/06/2026 09:01:13.000,90.418215,23.773,12.4,203.0,40142.0,Band 41,730,101,BD7179A,-54.0,-18.0,-18.0,30.0,15,203,-54.0,136,-83.0,197,-91.0,88516,11127,31.4,84870,10323,0.25
09/06/2026 09:01:14.000,90.418275,23.773011,14.0,203.0,40142.0,Band 41,730,101,BD7179A,-54.0,-9.0,-23.0,30.0,15,203,-54.0,136,-84.0,197,-93.0,95078,11156,32.7,85907,10604,0.45
09/06/2026 09:01:15.000,90.418304,23.773036,9.9,203.0,40142.0,Band 41,730,101,BD7179A,-56.0,-13.0,-20.0,26.6,15,203,-56.0,136,-83.0,197,-90.0,95031,11222,17.7,85885,10110,0.38
09/06/2026 09:01:16.000,90.418305,23.773096,13.6,203.0,40142.0,Band 41,730,101,BD7179A,-58.0,-16.0,-22.0,27.5,15,203,-58.0,136,-84.0,197,-93.0,91022,11426,26.4,85589,10508,0.24
09/06/2026 09:01:17.000,90.418308,23.773127,14.6,203.0,40142.0,Band 41,730,101,BD7179A,-58.0,-18.0,-21.0,19.2,13,203,-58.0,136,-81.0,197,-90.0,77089,7602,33.7,73821,7246,0.5
09/06/2026 09:01:18.000,90.418316,23.773128,14.7,203.0,40142.0,Band 41,730,101,BD7179A,-58.0,-16.0,-22.0,18.7,11,203,-58.0,136,-81.0,197,-90.0,53897,6260,38.3,49249,5754,0.39
09/06/2026 09:01:19.000,90.418377,23.773105,16.3,203.0,40142.0,Band 41,730,101,BD7179A,-54.0,-9.0,-24.0,30.0,15,203,-54.0,136,-81.0,197,-94.0,91939,10808,17.9,87537,10081,0.16
09/06/2026 09:01:20.000,90.418373,23.773207,16.2,203.0,40142.0,Band 41,730,101,BD7179A,-60.0,-18.0,-22.0,25.2,15,203,-60.0,136,-87.0,197,-85.0,88008,10065,32.5,82674,9315,0.58
09/06/2026 09:01:21.000,90.418379,23.773253,19.2,203.0,40142.0,Band 41,730,101,BD7179A,-60.0,-14.0,-28.0,21.5,13,203,-60.0,136,-87.0,197,-84.0,70574,8188,41.7,64290,7613,0.54
09/06/2026 09:01:22.000,90.418402,23.77331,15.1,203.0,40142.0,Band 41,730,101,BD7179A,-66.0,-9.0,-34.0,18.6,13,203,-66.0,136,-86.0,197,-90.0,75819,7582,26.0,68275,6910,0.57
09/06/2026 09:01:23.000,90.418409,23.773317,14.5,203.0,40142.0,Band 41,730,101,BD7179A,-62.0,-19.0,-21.0,22.5,14,203,-62.0,136,-88.0,197,-88.0,91139,11147,33.9,83368,10658,0.26
09/06/2026 09:01:24.000,90.418418,23.773395,17.4,203.0,40142.0,Band 41,730,101,BD7179A,-66.0,-11.0,-35.0,22.6,14,203,-66.0,136,-84.0,88,-95.0,88066,10846,33.2,80201,9875,0.47
09/06/2026 09:01:25.000,90.418401,23.773427,15.4,203.0,40142.0,Band 41,730,101,BD7179A,-73.0,-11.0,-41.0,0.3,4,203,-73.0,136,-84.0,88,-91.0,10163,1079,76.0,9315,1016,1.57
09/06/2026 09:01:26.000,90.418426,23.773461,20.8,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-8.0,-43.0,8.9,7,203,-72.0,136,-81.0,88,-93.0,24874,2718,65.4,22767,2511,1.46
09/06/2026 09:01:27.000,90.418435,23.77347,18.7,203.0,40142.0,Band 41,730,101,BD7179A,-74.0,-11.0,-45.0,7.7,7,203,-74.0,136,-82.0,88,-94.0,23818,2961,65.9,21925,2680,1.64
09/06/2026 09:01:28.000,90.418486,23.773506,13.6,203.0,40142.0,Band 41,730,101,BD7179A,-73.0,-8.0,-42.0,9.4,8,203,-73.0,136,-82.0,88,-88.0,32662,3939,51.6,29581,3762,1.0
09/06/2026 09:01:29.000,90.418513,23.773517,12.3,203.0,40142.0,Band 41,730,101,BD7179A,-70.0,-19.0,-28.0,10.4,7,203,-70.0,136,-84.0,88,-92.0,25803,2554,61.5,24091,2395,1.68
09/06/2026 09:01:30.000,90.418518,23.77354,12.7,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-11.0,-40.0,11.5,9,203,-72.0,136,-83.0,88,-89.0,41688,4102,52.2,38354,3782,1.26
09/06/2026 09:01:31.000,90.418545,23.773534,14.9,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-9.0,-42.0,12.4,10,203,-72.0,136,-79.0,88,-89.0,46316,4969,44.1,43765,4516,0.84
09/06/2026 09:01:32.000,90.418543,23.773573,17.9,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-8.0,-43.0,3.9,6,203,-72.0,136,-84.0,88,-89.0,18293,2269,70.1,16477,2084,1.24
09/06/2026 09:01:33.000,90.418582,23.773625,16.4,203.0,40142.0,Band 41,730,101,BD7179A,-75.0,-15.0,-39.0,9.3,7,203,-75.0,136,-80.0,88,-88.0,23010,2482,59.6,20963,2288,0.91
09/06/2026 09:01:34.000,90.418586,23.773641,17.2,203.0,40142.0,Band 41,730,101,BD7179A,-74.0,-6.0,-46.0,9.7,8,203,-74.0,136,-80.0,88,-92.0,34259,3450,61.4,31333,3227,1.34
09/06/2026 09:01:35.000,90.418609,23.773698,17.7,203.0,40142.0,Band 41,730,101,BD7179A,-76.0,-11.0,-46.0,3.8,6,203,-76.0,136,-81.0,88,-88.0,20246,2553,65.7,18505,2401,1.18
09/06/2026 09:01:36.000,90.41858,23.773772,20.3,203.0,40142.0,Band 41,730,101,BD7179A,-71.0,-12.0,-38.0,16.0,11,203,-71.0,136,-77.0,88,-85.0,56159,5628,41.2,50935,5350,1.02
09/06/2026 09:01:37.000,90.418605,23.773811,18.1,203.0,40142.0,Band 41,730,101,BD7179A,-70.0,-15.0,-34.0,7.1,8,203,-70.0,136,-79.0,88,-87.0,33239,4104,73.0,31294,3747,1.48
09/06/2026 09:01:38.000,90.418569,23.773838,16.0,203.0,40142.0,Band 41,730,101,BD7179A,-71.0,-14.0,-39.0,8.9,7,203,-71.0,136,-81.0,88,-89.0,26134,3043,65.3,23787,2917,1.18
09/06/2026 09:01:39.000,90.41853,23.773855,11.1,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-9.0,-42.0,13.3,9,203,-72.0,136,-89.0,88,-89.0,43318,5037,52.6,41043,4566,1.53
09/06/2026 09:01:40.000,90.418546,23.773904,6.5,203.0,40142.0,Band 41,730,101,BD7179A,-72.0,-12.0,-41.0,9.8,9,203,-72.0,136,-88.0,88,-91.0,41496,4223,59.6,38785,4034,1.2
09/06/2026 09:01:41.000,90.418544,23.773883,6.9,203.0,250.0,Band 1,730,101,BD7179A,-68.0,-7.0,-38.0,17.6,12,203,-68.0,136,-88.0,88,-91.0,64250,6410,41.2,60672,5948,0.89
09/06/2026 09:01:42.000,90.418571,23.773898,5.5,203.0,250.0,Band 1,730,101,BD7179A,-73.0,-12.0,-43.0,4.3,5,203,-73.0,136,-91.0,88,-91.0,14202,1736,78.5,12888,1643,1.92
09/06/2026 09:01:43.000,90.418648,23.7739,1.0,203.0,250.0,Band 1,730,101,BD7179A,-74.0,-6.0,-46.0,5.4,5,203,-74.0,136,-90.0,88,-87.0,14242,1442,74.8,13388,1334,1.3
09/06/2026 09:01:44.000,90.418622,23.773915,0.8,203.0,250.0,Band 1,730,101,BD7179A,-74.0,-8.0,-47.0,7.5,7,203,-74.0,136,-83.0,88,-90.0,24083,2299,59.9,22257,2170,1.6
09/06/2026 09:01:45.000,90.418612,23.773935,6.5,203.0,250.0,Band 1,730,101,BD7179A,-69.0,-8.0,-44.0,16.5,11,203,-69.0,136,-85.0,88,-91.0,58719,5733,49.1,53435,5388,0.61
09/06/2026 09:01:46.000,90.418631,23.773935,9.1,203.0,250.0,Band 1,730,101,BD7179A,-72.0,-5.0,-44.0,9.2,7,203,-72.0,136,-86.0,88,-92.0,25555,2855,63.1,23147,2691,1.32
09/06/2026 09:01:47.000,90.418656,23.774024,11.3,203.0,250.0,Band 1,730,101,BD7179A,-69.0,-14.0,-36.0,17.9,11,203,-69.0,136,-87.0,88,-96.0,51056,4878,38.6,46733,4510,0.6
09/06/2026 09:01:48.000,90.418662,23.774063,15.6,203.0,250.0,Band 1,730,101,BD7179A,-66.0,-9.0,-38.0,11.2,9,203,-66.0,136,-79.0,197,-89.0,37717,3786,56.5,34676,3537,0.86
09/06/2026 09:01:49.000,90.418671,23.774072,19.5,203.0,250.0,Band 1,730,101,BD7179A,-65.0,-10.0,-36.0,15.8,11,203,-65.0,136,-79.0,197,-88.0,55217,5177,44.9,51884,4765,0.56
09/06/2026 09:01:50.000,90.418707,23.774103,20.2,203.0,250.0,Band 1,730,101,BD7179A,-69.0,-18.0,-28.0,18.9,12,203,-69.0,136,-76.0,197,-88.0,69097,7086,48.6,63128,6531,0.75
09/06/2026 09:01:51.000,90.418737,23.774178,26.2,203.0,250.0,Band 1,730,101,BD7179A,-70.0,-19.0,-32.0,9.0,7,203,-70.0,136,-77.0,197,-86.0,23396,2353,65.2,22350,2162,1.15
09/06/2026 09:01:52.000,90.418724,23.774271,29.9,203.0,250.0,Band 1,730,101,BD7179A,-71.0,-19.0,-30.0,11.4,9,203,-71.0,136,-81.0,197,-82.0,42865,4080,61.3,39997,3788,0.92
09/06/2026 09:01:53.000,90.418745,23.774314,31.1,203.0,250.0,Band 1,730,101,BD7179A,-72.0,-12.0,-41.0,16.2,11,203,-72.0,136,-85.0,197,-83.0,58344,7263,33.4,54335,6852,0.83
09/06/2026 09:01:54.000,90.418765,23.774404,26.3,203.0,250.0,Band 1,730,101,BD7179A,-66.0,-12.0,-32.0,17.8,12,203,-66.0,136,-84.0,197,-85.0,63925,7844,50.2,57806,7129,0.46
