drive_id,missing_core_frac,missing_gps_frac,max_dt_s,dt_jitter_s,interp_frac_x,max_speed_kmh,nbr_missing_frac,qoe_missing_frac,gps_continuity,route_id,session_id,direction,n_samples,duration_s,distance_m,mean_speed_kmh,interp_frac_y,date,hour,time_period,qc_pass,qc_reject_reason
gulshan_banani_mohakhali__s01__d012,0.0,0.0,1.0,0.0,0.0,54.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,844,843.0,7811.043396680897,31.049763033175356,0.0,2026-09-06,11,midday,True,
gulshan_banani_mohakhali__s01__d013,0.0,0.0,1.0,0.0,0.0,37.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,803,802.0,4903.505820349166,18.11544209215442,0.0,2026-09-06,11,midday,True,
gulshan_banani_mohakhali__s01__d014,0.0,0.0,1.0,0.0,0.0,56.9,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1125,1124.0,8377.396987026874,23.409333333333333,0.0,2026-09-06,11,midday,True,
gulshan_banani_mohakhali__s01__d015,0.0,0.0,1.0,0.0,0.0,44.2,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,452,451.0,4248.609181307326,32.13606194690266,0.0,2026-09-06,12,midday,True,
gulshan_banani_mohakhali__s01__d016,0.0,0.0,1.0,0.0,0.0,51.6,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,965,964.0,7955.609489782747,27.195336787564766,0.0,2026-09-06,12,midday,True,
gulshan_banani_mohakhali__s01__d017,0.0,0.0,1.0,0.0,0.0,51.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,475,474.0,4406.395090475918,30.747999999999998,0.0,2026-09-06,12,midday,True,
gulshan_banani_mohakhali__s01__d018,0.0,0.0,1.0,0.0,0.0,42.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1312,1311.0,8649.709998690194,19.956631097560976,0.0,2026-09-06,12,midday,True,
gulshan_banani_mohakhali__s01__d019,0.0,0.0,1.0,0.0,0.0,47.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,599,598.0,4537.212596674681,24.435058430717863,0.0,2026-09-06,12,midday,True,
gulshan_banani_mohakhali__s01__d020,0.0,0.0,1.0,0.0,0.0,55.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1088,1087.0,8325.59538357636,24.151930147058824,0.0,2026-09-06,13,midday,True,
gulshan_banani_mohakhali__s01__d021,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,396,395.0,4252.075632870839,36.63181818181818,0.0,2026-09-06,13,midday,True,
gulshan_banani_mohakhali__s01__d022,0.0,0.0,1.0,0.0,0.0,47.6,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1121,1120.0,8177.895417503425,23.484656556645852,0.0,2026-09-06,13,midday,True,
gulshan_banani_mohakhali__s01__d023,0.0,0.0,1.0,0.0,0.0,55.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,427,426.0,4351.826418836063,34.087822014051525,0.0,2026-09-06,13,midday,True,
gulshan_banani_mohakhali__s01__d024,0.0,0.0,1.0,0.0,0.0,58.5,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,600,599.0,7535.717461743284,43.806666666666665,0.0,2026-09-06,13,midday,True,
gulshan_banani_mohakhali__s01__d025,0.0,0.0,1.0,0.0,0.0,53.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,431,430.0,4301.372716107081,33.74501160092807,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d026,0.0,0.0,1.0,0.0,0.0,52.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,880,879.0,7923.190897916155,29.89568181818182,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d027,0.0,0.0,1.0,0.0,0.0,57.7,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,349,348.0,4259.513003259992,41.767908309455585,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d028,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,926,925.0,8003.549286737665,28.282505399568034,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d029,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,425,424.0,4285.232865052004,34.372,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d030,0.0,0.0,1.0,0.0,0.0,57.6,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,771,770.0,7815.901061036085,33.97315175097276,0.0,2026-09-06,14,midday,True,
gulshan_banani_mohakhali__s01__d031,0.0,0.0,1.0,0.0,0.0,49.3,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,427,426.0,4314.195485803409,34.30866510538642,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d032,0.0,0.0,1.0,0.0,0.0,51.6,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,719,718.0,7660.395174531108,36.5279554937413,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d033,0.0,0.0,1.0,0.0,0.0,46.9,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,607,606.0,4537.318254169575,23.888303130148273,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d034,0.0,0.0,1.0,0.0,0.0,59.7,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,783,782.0,7722.430431611171,33.64278416347382,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d035,0.0,0.0,1.0,0.0,0.0,50.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,519,518.0,4437.064297028785,27.99942196531792,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d036,0.0,0.0,1.0,0.0,0.0,56.5,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,921,920.0,7995.294872647655,28.457546145494028,0.0,2026-09-06,15,midday,True,
gulshan_banani_mohakhali__s01__d037,0.0,0.0,1.0,0.0,0.0,54.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,445,444.0,4378.7856521535605,32.7638202247191,0.0,2026-09-06,16,evening,True,
gulshan_banani_mohakhali__s01__d038,0.0,0.0,1.0,0.0,0.0,52.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,862,861.0,7821.773206096646,30.515893271461717,0.0,2026-09-06,16,evening,True,
gulshan_banani_mohakhali__s01__d039,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,522,521.0,4434.197948351988,27.80287356321839,0.0,2026-09-06,16,evening,True,
gulshan_banani_mohakhali__s01__d040,0.0,0.0,1.0,0.0,0.0,47.5,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1095,1094.0,8209.558061038419,24.015981735159816,0.0,2026-09-06,16,evening,True,
gulshan_banani_mohakhali__s01__d041,0.0,0.0,1.0,0.0,0.0,42.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,530,529.0,4402.461710719687,27.475471698113207,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d042,0.0,0.0,1.0,0.0,0.0,57.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,809,808.0,7794.181301356863,32.45822002472188,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d043,0.0,0.0,1.0,0.0,0.0,54.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,490,489.0,4457.850339065693,29.774285714285714,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d044,0.0,0.0,1.0,0.0,0.0,56.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,887,886.0,7965.718084279518,29.626493799323562,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d045,0.0,0.0,1.0,0.0,0.0,48.9,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,441,440.0,4309.630368144771,32.95510204081633,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d046,0.0,0.0,1.0,0.0,0.0,48.7,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,904,903.0,7973.925397198338,29.12566371681416,0.0,2026-09-06,17,evening,True,
gulshan_banani_mohakhali__s01__d047,0.0,0.0,1.0,0.0,0.0,55.2,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,348,347.0,4171.195022069297,41.689942528735635,0.0,2026-09-06,18,evening,True,
gulshan_banani_mohakhali__s01__d048,0.0,0.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,894,893.0,9053.438950176858,34.50402684563758,0.0,2026-09-06,18,evening,True,
farmgate_sciencelab_newmarket__s02__d000,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,752,751.0,3787.027611426836,12.463031914893618,0.0,2026-09-07,8,morning,True,
farmgate_sciencelab_newmarket__s02__d001,0.0,0.0,1.0,0.0,0.0,28.9,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,568,567.0,3268.6355334373993,16.449647887323945,0.0,2026-09-07,8,morning,True,
farmgate_sciencelab_newmarket__s02__d002,0.0,0.0,1.0,0.0,0.0,32.4,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,737,736.0,3720.2152349870116,12.56146540027137,0.0,2026-09-07,8,morning,True,
farmgate_sciencelab_newmarket__s02__d003,0.0,0.0,1.0,0.0,0.0,29.9,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,686,685.0,3631.817915481994,13.679591836734694,0.0,2026-09-07,8,morning,True,
farmgate_sciencelab_newmarket__s02__d004,0.0,0.0,1.0,0.0,0.0,30.7,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,654,653.0,3598.3910380453244,14.261162079510703,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d005,0.0,0.0,1.0,0.0,0.0,33.9,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,354,353.0,2141.971300115479,17.48418079096045,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d006,0.0,0.0,1.0,0.0,0.0,33.1,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,1013,1012.0,5202.970343070555,12.26791707798618,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d007,0.0,0.0,1.0,0.0,0.0,30.8,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,721,720.0,3751.4476744701046,12.938973647711512,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d008,0.0,0.0,1.0,0.0,0.0,34.1,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,644,643.0,3439.695661242637,14.472049689440993,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d009,0.0,0.0,1.0,0.0,0.0,29.7,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,529,528.0,3149.5538984132527,17.63119092627599,0.0,2026-09-07,9,morning,True,
farmgate_sciencelab_newmarket__s02__d010,0.0,0.0,1.0,0.0,0.0,32.5,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,780,779.0,3918.9743914947244,11.92423076923077,0.0,2026-09-07,10,morning,True,
farmgate_sciencelab_newmarket__s02__d011,0.0,0.0,1.0,0.0,0.0,29.5,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,420,419.0,2285.043518919314,14.729761904761904,0.0,2026-09-07,10,morning,True,
farmgate_sciencelab_newmarket__s02__d012,0.0,0.0,1.0,0.0,0.0,30.3,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,1039,1038.0,5261.931353484103,12.01077959576516,0.0,2026-09-07,10,morning,True,
farmgate_sciencelab_newmarket__s02__d013,0.0,0.0,1.0,0.0,0.0,30.7,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,723,722.0,3726.3891650259234,12.895159059474413,0.0,2026-09-07,10,morning,True,
farmgate_sciencelab_newmarket__s02__d014,0.0,0.0,1.0,0.0,0.0,28.9,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,647,646.0,3551.0771126546897,14.351777434312211,0.0,2026-09-07,10,morning,True,
farmgate_sciencelab_newmarket__s02__d015,0.0,0.0,1.0,0.0,0.0,33.8,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,713,712.0,3696.3028787214157,13.140252454417952,0.0,2026-09-07,11,midday,True,
farmgate_sciencelab_newmarket__s02__d016,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,800,799.0,3989.485490262648,11.659375,0.0,2026-09-07,11,midday,True,
farmgate_sciencelab_newmarket__s02__d017,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,518,517.0,3140.1612908244033,17.99903474903475,0.0,2026-09-07,11,midday,True,
farmgate_sciencelab_newmarket__s02__d018,0.0,0.0,1.0,0.0,0.0,31.1,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,809,808.0,3989.355222964346,11.469592088998763,0.0,2026-09-07,11,midday,True,
farmgate_sciencelab_newmarket__s02__d019,0.0,0.0,1.0,0.0,0.0,33.8,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,533,532.0,3196.2905152460676,17.5422138836773,0.0,2026-09-07,11,midday,True,
farmgate_sciencelab_newmarket__s02__d020,0.0,0.0,1.0,0.0,0.0,34.2,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,674,673.0,3656.122782480898,13.82225519287834,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d021,0.0,0.0,1.0,0.0,0.0,32.6,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,688,687.0,3625.8385492259404,13.552470930232559,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d022,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,711,710.0,3701.22633482001,13.067932489451476,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d023,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,470,469.0,3054.807904977631,19.894255319148936,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d024,0.0,0.0,1.0,0.0,0.0,33.2,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,515,514.0,3212.5672584505987,18.13126213592233,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d025,0.0,0.0,1.0,0.0,0.0,32.2,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,638,637.0,3453.792722174824,14.509874608150469,0.0,2026-09-07,12,midday,True,
farmgate_sciencelab_newmarket__s02__d026,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,623,622.0,3510.585518243556,14.989406099518458,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d027,0.0,0.0,1.0,0.0,0.0,31.9,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,731,730.0,3706.843974119166,12.729138166894664,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d028,0.0,0.0,1.0,0.0,0.0,33.5,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,395,394.0,2911.676263106194,23.694430379746834,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d029,0.0,0.0,1.0,0.0,0.0,34.2,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,568,567.0,3286.4987744899677,16.402464788732395,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d030,0.0,0.0,1.0,0.0,0.0,26.4,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,783,782.0,3897.526605139332,11.911238825031928,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d031,0.0,0.0,1.0,0.0,0.0,34.7,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,662,661.0,3561.007583640634,14.036253776435045,0.0,2026-09-07,13,midday,True,
farmgate_sciencelab_newmarket__s02__d032,0.0,0.0,1.0,0.0,0.0,30.5,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,877,876.0,4127.058921210792,10.653591790193843,0.0,2026-09-07,14,midday,True,
farmgate_sciencelab_newmarket__s02__d033,0.0,0.0,1.0,0.0,0.0,26.4,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,fwd,651,650.0,3390.6032525039263,14.259293394777265,0.0,2026-09-07,14,midday,True,
farmgate_sciencelab_newmarket__s02__d034,0.0,0.0,1.0,0.0,0.0,31.3,0.0,0.0,1.0,farmgate_sciencelab_newmarket,2,rev,815,814.0,4316.396968704922,13.85803680981595,0.0,2026-09-07,14,midday,True,
kuril_badda_rampura_malibagh__s03__d000,0.0,0.0,1.0,0.0,0.0,70.7,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,639,638.0,8861.985652262125,48.94507042253522,0.0,2026-09-08,7,morning,True,
kuril_badda_rampura_malibagh__s03__d001,0.0,0.0,1.0,0.0,0.0,71.2,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,597,596.0,8784.645459052274,51.99698492462311,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d002,0.0,0.0,1.0,0.0,0.0,58.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,815,814.0,8948.62220603897,38.033496932515334,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d003,0.0,0.0,1.0,0.0,0.0,66.9,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,855,854.0,9132.270117364214,36.4174269005848,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d004,0.0,0.0,1.0,0.0,0.0,60.3,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,675,674.0,8862.763791753165,46.15585185185185,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d005,0.0,0.0,1.0,0.0,0.0,65.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,565,564.0,8735.363719600715,55.006725663716814,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d006,0.0,0.0,1.0,0.0,0.0,62.7,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,697,696.0,8866.44506777073,44.47474892395983,0.0,2026-09-08,8,morning,True,
kuril_badda_rampura_malibagh__s03__d007,0.0,0.0,1.0,0.0,0.0,74.5,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,609,608.0,8846.563818079641,51.12298850574713,0.0,2026-09-08,9,morning,True,
kuril_badda_rampura_malibagh__s03__d008,0.0,0.0,1.0,0.0,0.0,71.5,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,740,739.0,8959.868169325964,41.979729729729726,0.0,2026-09-08,9,morning,True,
kuril_badda_rampura_malibagh__s03__d009,0.0,0.0,1.0,0.0,0.0,68.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,833,832.0,8992.108122313819,37.239255702280914,0.0,2026-09-08,9,morning,True,
kuril_badda_rampura_malibagh__s03__d010,0.0,0.0,1.0,0.0,0.0,72.5,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,572,571.0,8864.946770473383,54.48513986013986,0.0,2026-09-08,9,morning,True,
kuril_badda_rampura_malibagh__s03__d011,0.0,0.0,1.0,0.0,0.0,68.4,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,687,686.0,8859.642052827365,45.070305676855895,0.0,2026-09-08,9,morning,True,
kuril_badda_rampura_malibagh__s03__d012,0.0,0.0,1.0,0.0,0.0,66.0,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,709,708.0,8949.496605930628,43.93483779971791,0.0,2026-09-08,10,morning,True,
kuril_badda_rampura_malibagh__s03__d013,0.0,0.0,1.0,0.0,0.0,63.7,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,729,728.0,8907.532762536928,42.62537722908093,0.0,2026-09-08,10,morning,True,
kuril_badda_rampura_malibagh__s03__d014,0.0,0.0,1.0,0.0,0.0,51.2,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,752,751.0,8926.220181283856,41.27872340425532,0.0,2026-09-08,10,morning,True,
kuril_badda_rampura_malibagh__s03__d015,0.0,0.0,1.0,0.0,0.0,57.1,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,747,746.0,8961.222886612368,41.610307898259705,0.0,2026-09-08,10,morning,True,
kuril_badda_rampura_malibagh__s03__d016,0.0,0.0,1.0,0.0,0.0,65.2,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,724,723.0,8933.429879844,42.99337016574586,0.0,2026-09-08,10,morning,True,
kuril_badda_rampura_malibagh__s03__d017,0.0,0.0,1.0,0.0,0.0,70.3,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,767,766.0,9033.536890403002,40.49504563233377,0.0,2026-09-08,11,midday,True,
kuril_badda_rampura_malibagh__s03__d018,0.0,0.0,1.0,0.0,0.0,64.0,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,662,661.0,8845.865116495797,46.95015105740181,0.0,2026-09-08,11,midday,True,
kuril_badda_rampura_malibagh__s03__d019,0.0,0.0,1.0,0.0,0.0,58.6,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,796,795.0,8976.908218718592,39.01319095477387,0.0,2026-09-08,11,midday,True,
kuril_badda_rampura_malibagh__s03__d020,0.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,692,691.0,8865.407877472444,44.90505780346821,0.0,2026-09-08,11,midday,True,
kuril_badda_rampura_malibagh__s03__d021,0.0,0.0,1.0,0.0,0.0,72.1,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,742,741.0,8956.804570072221,41.96132075471698,0.0,2026-09-08,11,midday,True,
kuril_badda_rampura_malibagh__s03__d022,0.0,0.0,1.0,0.0,0.0,72.6,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,571,570.0,8773.980518299823,54.343607705779334,0.0,2026-09-08,12,midday,True,
kuril_badda_rampura_malibagh__s03__d023,0.0,0.0,1.0,0.0,0.0,71.4,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,747,746.0,8973.88245711503,41.6619812583668,0.0,2026-09-08,12,midday,True,
kuril_badda_rampura_malibagh__s03__d024,0.0,0.0,1.0,0.0,0.0,71.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,510,509.0,8725.410548524032,60.93058823529412,0.0,2026-09-08,12,midday,True,
kuril_badda_rampura_malibagh__s03__d025,0.0,0.0,1.0,0.0,0.0,67.6,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,661,660.0,8812.372277458224,46.94205748865355,0.0,2026-09-08,12,midday,True,
kuril_badda_rampura_malibagh__s03__d026,0.0,0.0,1.0,0.0,0.0,58.9,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,838,837.0,9051.25630589049,37.097374701670645,0.0,2026-09-08,12,midday,True,
kuril_badda_rampura_malibagh__s03__d027,0.0,0.0,1.0,0.0,0.0,70.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,810,809.0,9064.221563618585,38.22111111111111,0.0,2026-09-08,13,midday,True,
kuril_badda_rampura_malibagh__s03__d028,0.0,0.0,1.0,0.0,0.0,54.0,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,761,760.0,8937.862596923373,40.98528252299606,0.0,2026-09-08,13,midday,True,
kuril_badda_rampura_malibagh__s03__d029,0.0,0.0,1.0,0.0,0.0,52.2,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,rev,805,804.0,9031.154933353733,38.59614906832298,0.0,2026-09-08,13,midday,True,
kuril_badda_rampura_malibagh__s03__d030,0.0,0.0,1.0,0.0,0.0,64.8,0.0,0.0,1.0,kuril_badda_rampura_malibagh,3,fwd,742,741.0,8926.18620819884,41.989487870619946,0.0,2026-09-08,13,midday,True,
